,accuracy,precision,recall,f1,roc_auc,threshold,train_size,valid_size,best_epoch
tfidf_text_only,0.5089633671083398,0.46599264705882354,0.9118705035971223,0.6167883211678832,0.6577093208514344,0.32499999999999996,10269,1284,
tfidf_metadata_enhanced,0.7038191738113796,0.6102756892230576,0.8758992805755396,0.7193500738552437,0.8304874669727766,0.33499999999999996,10269,1284,
transformer_text_only,0.5035074045206547,0.4643171806167401,0.947841726618705,0.6232998225901834,0.6968620426904695,0.20999999999999996,10269,1284,2
