epoch,train_loss,valid_accuracy,valid_precision,valid_recall,valid_f1,valid_roc_auc,valid_threshold
1,0.672873350295508,0.5638629283489096,0.5264650283553876,0.9042207792207793,0.6654719235364397,0.6836748580760557,0.37499999999999994
2,0.6180218135549272,0.5552959501557633,0.5197541703248464,0.961038961038961,0.6746438746438747,0.695784567229178,0.20999999999999996
3,0.49618652957923876,0.5887850467289719,0.5454545454545454,0.8571428571428571,0.6666666666666666,0.664352301889727,0.25999999999999995
4,0.27983833291942134,0.5950155763239875,0.5533333333333333,0.8084415584415584,0.6569920844327177,0.6618370402053038,0.07
5,0.13396971431193436,0.6121495327102804,0.5741206030150754,0.7418831168831169,0.6473087818696884,0.6685419744925734,0.06
